SKU,Tên thuộc tính,Giá trị thuộc tính,Tên thuộc tính,Giá trị thuộc tính,,
2790962,Thương hiệu,KILIAN Paris,Kích thước,1.7 oz / 50 ml eau de parfum spray,,Giá trị thuộc tính
2821700,Thương hiệu,Dolce&Gabbana,Kích thước,0.33 oz / 10 mL eau de parfum spray,,KILIAN Paris
1019983,Thương hiệu,Dolce&Gabbana,Kích thước,2.5 oz/ 75 mL,,Dolce&Gabbana
1112481,Thương hiệu,Versace,Kích thước,3.4 oz/ 100 mL,,Versace
1200716,Thương hiệu,Yves Saint Laurent,Kích thước,3.3 oz/ 100 mL,,Yves Saint Laurent
1200773,Thương hiệu,Rabanne,Kích thước,3.4 oz/ 100 mL,,Rabanne
1284710,Thương hiệu,CHANEL,Kích thước,1.7 oz,,CHANEL
1359306,Thương hiệu,Versace,Kích thước,6.7 oz/ 200 mL,,DIOR
1513225,Thương hiệu,Versace,Kích thước,3.4 oz/ 100 mL,,TOM FORD
1695980,Thương hiệu,CHANEL,Kích thước,3.4 oz,,Montblanc
1703495,Thương hiệu,DIOR,Kích thước,2.5 oz/ 75 mL,,Prada
1706423,Thương hiệu,TOM FORD,Kích thước,3.4 oz/ 100 mL,,Armani Beauty
1739317,Thương hiệu,DIOR,Kích thước,2 oz/ 60 mL,,Valentino
1810688,Thương hiệu,Montblanc,Kích thước,1.7 oz/ 50 mL,,Carolina Herrera
1849207,Thương hiệu,Versace,Kích thước,3.4 oz/ 100 mL,,BURBERRY
2038123,Thương hiệu,DIOR,Kích thước,2.0 oz/ 60 mL,,Maison Louis Marie
2065415,Thương hiệu,CHANEL,Kích thước,3.4 oz/ 100 mL,,HERMÈS
2099729,Thương hiệu,Prada,Kích thước,3.4 oz/ 101 mL,,Jo Malone London
2099885,Thương hiệu,Yves Saint Laurent,Kích thước,3.4 oz/ 100 mL eau de parfum spray,,Ellis Brooklyn
2205466,Thương hiệu,Armani Beauty,Kích thước,3.4 oz/ 100 ml eau de parfum spray,,Viktor&Rolf
2227908,Thương hiệu,Montblanc,Kích thước,3.3 oz/ 100 mL Eau de Parfum Spray,,CLEAN RESERVE
2267797,Thương hiệu,DIOR,Kích thước,3.4 oz / 100 mL,,LoveShackFancy
2302099,Thương hiệu,Valentino,Kích thước,1.7 oz/ 50 mL,,FORVR Mood
2353498,Thương hiệu,Carolina Herrera,Kích thước,1.7 oz/ 50 mL,,5 SENS
2373629,Thương hiệu,Montblanc,Kích thước,3.4 oz/ 100 mL,,KAYALI
2408292,Thương hiệu,TOM FORD,Kích thước,1.7oz/ 50 mL,,Charlotte Tilbury
