SKU,Tên thuộc tính,Giá trị thuộc tính,Tên thuộc tính,Giá trị thuộc tính,,,Hiện thuộc tính,Thuộc tính mặc định
2790962,Thương hiệu,KILIAN Paris,Kích thước,1.7 oz / 50 ml eau de parfum spray,,Giá trị thuộc tính,có,
2821700,Thương hiệu,Dolce&Gabbana,Kích thước,0.33 oz / 10 mL eau de parfum spray,,KILIAN Paris,có,
1019983,Thương hiệu,Dolce&Gabbana,Kích thước,2.5 oz/ 75 mL,,Dolce&Gabbana,có,
1112481,Thương hiệu,Versace,Kích thước,3.4 oz/ 100 mL,,Versace,có,
1200716,Thương hiệu,Yves Saint Laurent,Kích thước,3.3 oz/ 100 mL,,Yves Saint Laurent,có,
1200773,Thương hiệu,Rabanne,Kích thước,3.4 oz/ 100 mL,,Rabanne,có,
1284710,Thương hiệu,CHANEL,Kích thước,1.7 oz,,CHANEL,có,
1359306,Thương hiệu,Versace,Kích thước,6.7 oz/ 200 mL,,DIOR,có,
1513225,Thương hiệu,Versace,Kích thước,3.4 oz/ 100 mL,,TOM FORD,có,
1695980,Thương hiệu,CHANEL,Kích thước,3.4 oz,,Montblanc,có,
1703495,Thương hiệu,DIOR,Kích thước,2.5 oz/ 75 mL,,Prada,có,
1706423,Thương hiệu,TOM FORD,Kích thước,3.4 oz/ 100 mL,,Armani Beauty,có,
1739317,Thương hiệu,DIOR,Kích thước,2 oz/ 60 mL,,Valentino,có,
1810688,Thương hiệu,Montblanc,Kích thước,1.7 oz/ 50 mL,,Carolina Herrera,có,
1849207,Thương hiệu,Versace,Kích thước,3.4 oz/ 100 mL,,BURBERRY,có,
2038123,Thương hiệu,DIOR,Kích thước,2.0 oz/ 60 mL,,Maison Louis Marie,có,
2065415,Thương hiệu,CHANEL,Kích thước,3.4 oz/ 100 mL,,HERMÈS,có,
2099729,Thương hiệu,Prada,Kích thước,3.4 oz/ 101 mL,,Jo Malone London,có,
2099885,Thương hiệu,Yves Saint Laurent,Kích thước,3.4 oz/ 100 mL eau de parfum spray,,Ellis Brooklyn,có,
2205466,Thương hiệu,Armani Beauty,Kích thước,3.4 oz/ 100 ml eau de parfum spray,,Viktor&Rolf,có,
2227908,Thương hiệu,Montblanc,Kích thước,3.3 oz/ 100 mL Eau de Parfum Spray,,CLEAN RESERVE,có,
2267797,Thương hiệu,DIOR,Kích thước,3.4 oz / 100 mL,,LoveShackFancy,có,
2302099,Thương hiệu,Valentino,Kích thước,1.7 oz/ 50 mL,,FORVR Mood,có,
2353498,Thương hiệu,Carolina Herrera,Kích thước,1.7 oz/ 50 mL,,5 SENS,có,
2373629,Thương hiệu,Montblanc,Kích thước,3.4 oz/ 100 mL,,KAYALI,có,
2408292,Thương hiệu,TOM FORD,Kích thước,1.7oz/ 50 mL,,Charlotte Tilbury,có,
2467454,Thương hiệu,DIOR,Kích thước,2 oz/ 60 mL,,Maison Margiela,có,
2470086,Thương hiệu,Prada,Kích thước,3.3 oz/ 100 mL,,BROWN GIRL Jane,có,
2543734,Thương hiệu,Valentino,Kích thước,3.4 oz/ 100 mL,,Sephora Favorites,có,
2545697,Thương hiệu,Carolina Herrera,Kích thước,1.7 oz / 50 mL eau de parfum spray,,Gucci,có,
2546216,Thương hiệu,Yves Saint Laurent,Kích thước,3.4 oz / 100 mL,,PHLUR,có,
2549947,Thương hiệu,Montblanc,Kích thước,1.7 oz/ 50 mL,,Commodity,có,
2603363,Thương hiệu,BURBERRY,Kích thước,3.3 oz / 100mL,,DedCool,có,
2639821,Thương hiệu,Valentino,Kích thước,1.7 oz / 50 mL eau de parfum spray,,Ariana Grande,có,
2706273,Thương hiệu,Yves Saint Laurent,Kích thước,3.4 oz / 100 ml eau de parfum spray,,Glossier,có,
2736536,Thương hiệu,Valentino,Kích thước,3.4 oz eau de toilette spray,,Marc Jacobs Fragrances,có,
2741643,Thương hiệu,TOM FORD,Kích thước,3.4 oz / 100 ml eau de parfum spray,,Chloé,có,
2765576,Thương hiệu,Dolce&Gabbana,Kích thước,3.3 oz eau de parfum spray,,Lancôme,có,
2821692,Thương hiệu,Dolce&Gabbana,Kích thước,1.6 oz / 50 mL eau de parfum spray,,NEST New York,có,
397299,Thương hiệu,Armani Beauty,Kích thước,3.3 oz / 100 ml eau de toilette spray,,Juliette Has a Gun,có,
1113281,Thương hiệu,CHANEL,Kích thước,3 x 0.7 oz,,GUERLAIN,có,
2321123,Thương hiệu,Maison Louis Marie,,,,Sol de Janeiro,có,
2412120,Thương hiệu,HERMÈS,,,,The 7 Virtues,có,
2412120,Thương hiệu,HERMÈS,,,,By Rosie Jane,có,
2561835,Thương hiệu,Yves Saint Laurent,,,,OUAI,có,
2616555,Thương hiệu,Jo Malone London,,,,Mugler,có,
2616555,Thương hiệu,Jo Malone London,,,,SKYLAR,có,
2619799,Thương hiệu,Ellis Brooklyn,,,,Moroccanoil,có,
2640019,Thương hiệu,Ellis Brooklyn,,,,World of Chris Collins,có,
2648400,Thương hiệu,HERMÈS,,,,HERETIC,có,
2648400,Thương hiệu,HERMÈS,,,,Nette,có,
2650794,Thương hiệu,Viktor&Rolf,,,,Floral Street,có,
2650802,Thương hiệu,Viktor&Rolf,,,,Henry Rose,có,
2655603,Thương hiệu,Armani Beauty,,,,JIMMY CHOO,có,
2658128,Thương hiệu,CLEAN RESERVE,,,,Rare Beauty by Selena Gomez,có,
2664746,Thương hiệu,Versace,,,,Salt & Stone,có,
2693026,Thương hiệu,Ellis Brooklyn,,,,Jean Paul Gaultier,có,
2701258,Thương hiệu,Valentino,,,,Gisou,có,
2706877,Thương hiệu,Prada,,,,MERIT,có,
2708147,Thương hiệu,LoveShackFancy,,,,Montale,có,
2718781,Thương hiệu,FORVR Mood,,,,The Maker,có,
2748978,Thương hiệu,5 SENS,,,,Ralph Lauren,có,
2752640,Thương hiệu,KAYALI,,,,,có,
2758746,Thương hiệu,Viktor&Rolf,,,,,có,
2761914,Thương hiệu,Charlotte Tilbury,,,,,có,
2761963,Thương hiệu,Maison Margiela,,,,,có,
2764975,Thương hiệu,Jo Malone London,,,,,có,
2771798,Thương hiệu,BROWN GIRL Jane,,,,,có,
2771897,Thương hiệu,Jo Malone London,,,,,có,
2778868,Thương hiệu,Sephora Favorites,,,,,có,
2779569,Thương hiệu,Jo Malone London,,,,,có,
2781847,Thương hiệu,LoveShackFancy,,,,,có,
2786572,Thương hiệu,Dolce&Gabbana,,,,,có,
2788198,Thương hiệu,Gucci,,,,,có,
2789006,Thương hiệu,KILIAN Paris,,,,,có,
2790061,Thương hiệu,Carolina Herrera,,,,,có,
2791499,Thương hiệu,DIOR,,,,,có,
2791564,Thương hiệu,DIOR,,,,,có,
2795086,Thương hiệu,Gucci,,,,,có,
2796308,Thương hiệu,KILIAN Paris,,,,,có,
2796316,Thương hiệu,KILIAN Paris,,,,,có,
