SKU,Name,Name,Brand,RegularPrice,SalePrice,Size,Categories,Images,Gallery,Description,Link
2790962,Old Fashioned Eau de Parfum,Old Fashioned Eau de Parfum,KILIAN Paris,3507000,,1.7 oz / 50 ml eau de parfum spray,Nữ,https://www.sephora.com/productimages/sku/s2790962-main-zoom.jpg?imwidth=48 1x https://www.sephora.com/productimages/sku/s2790962-main-zoom.jpg?imwidth=96 2x,https://www.sephora.com/productimages/sku/s2790962-av-02-zoom.jpg?imwidth=48 1x https://www.sephora.com/productimages/sku/s2790962-av-02-zoom.jpg?imwidth=96 2xhttps://www.sephora.com/productimages/sku/s2790962-av-03-zoom.jpg?imwidth=48 1x https://www.sephora.com/productimages/sku/s2790962-av-03-zoom.jpg?imwidth=96 2xhttps://www.sephora.com/productimages/sku/s2790962-av-04-zoom.jpg?imwidth=48 1x https://www.sephora.com/productimages/sku/s2790962-av-04-zoom.jpg?imwidth=96 2xhttps://www.sephora.com/productimages/sku/s2790962-av-05-zoom.jpg?imwidth=48 1x https://www.sephora.com/productimages/sku/s2790962-av-05-zoom.jpg?imwidth=96 2xhttps://www.sephora.com/productimages/sku/s2790962-av-06-zoom.jpg?imwidth=48 1x https://www.sephora.com/productimages/sku/s2790962-av-06-zoom.jpg?imwidth=96 2x,"<b>Nhóm hương:</b> Ấm áp & cay nồng<br><br><b>Loại mùi hương:</b> Hương gỗ gia vị<br><br><b>Ghi chú chính:</b> Tinh dầu lúa mì Tinh chất Davana Gỗ tuyết tùng<br><br><b>Mô tả hương thơm:</b> Old Fashioned mở đầu với hương đất của tinh dầu lúa mì và hương rượu nhẹ của tinh chất davana. Nó có hương gỗ tuyết tùng và tinh dầu vĩnh cửu hòa quyện với hương gỗ tinh tế. Hương tolu balm và styrax gợi nhớ đến những thùng rượu whisky lâu năm và những cánh đồng hoang phủ đầy sương mù của truyền thuyết Scotland.<br><br><b>Về chai:</b> Chai nước hoa của bộ sưu tập The Liquors được thiết kế như một vật dụng thiết yếu trong quán rượu lậu giống như một chiếc ly thủy tinh nghệ thuật để gợi nhớ đến những quán bar tuyệt vời nhất. Chiếc ly có trọng lượng được khắc họa tiết chữ K mang tính biểu tượng để chiếu sáng và bắt sáng ở mọi góc độ được hoàn thiện bằng một tấm bảng hình thoi màu vàng được ký bằng chữ in lụa màu trắng. Những chi tiết này mang đến cho các sáng tạo của KILIAN PARIS sự đảm bảo về sự xa xỉ không phải là phù du mà phải tồn tại suốt đời. Do đó loại nước hoa này có thể được nạp lại vô tận.<br><br><b>Về hương thơm:</b> Old Fashioned Eau de Parfum là hương thơm của một loại rượu whisky mạch nha đơn cất Scotland 18 năm tuổi tuyệt hảo một bức chân dung về nước hoa tinh tế mà chỉ thời gian mới có thể đạt được. Lúa mì và&nbsp;Tolu Balm&nbsp;bắt trọn loại rượu này ngay tại thời điểm nếm thử sự hoàn hảo.<br>&nbsp;<br>Old Fashioned Eau de Parfum ngay lập tức đưa bạn đến một dinh thự Scotland đang nhâm nhi rượu whisky trong một chiếc cốc bên ngọn lửa bập bùng—một sự xa xỉ được vun đắp theo thời gian và hoàn toàn nằm ngoài thời gian. ""Những mùi hương của rượu là những sáng tạo mang tính cá nhân nhất của tôi"" Kilian nói ""và tôn vinh di sản Hennessy của tôi"".",https://www.sephora.com/product/kilian-old-fashioned-eau-de-parfum-P512428?skuId=2790962&amp;icid2=products grid:p512428:product
2821700,K Eau de Parfum Intense Travel Spray,K Eau de Parfum Intense Travel Spray,Dolce&Gabbana,"485000,000",,0.33 oz / 10 mL eau de parfum spray,Nam,https://www.sephora.com/productimages/sku/s2821700-main-zoom.jpg?imwidth=48 1x https://www.sephora.com/productimages/sku/s2821700-main-zoom.jpg?imwidth=96 2x,https://www.sephora.com/productimages/sku/s2821700-av-01-zoom.jpg?imwidth=48 1x https://www.sephora.com/productimages/sku/s2821700-av-01-zoom.jpg?imwidth=96 2xhttps://www.sephora.com/productimages/sku/s2821700-av-11-zoom.jpg?imwidth=48 1x https://www.sephora.com/productimages/sku/s2821700-av-11-zoom.jpg?imwidth=96 2xhttps://www.sephora.com/productimages/sku/s2821700-av-10-zoom.jpg?imwidth=48 1x https://www.sephora.com/productimages/sku/s2821700-av-10-zoom.jpg?imwidth=96 2x,<b>Nhóm hương:</b> Ấm áp & cay nồng<br><br><b>Loại mùi hương:</b> Hương gỗ gia vị<br><br><b>Hương chính:</b> Nghệ tây Quả sung Da thuộc<br><br><b>Mô tả mùi hương:</b> K by Dolce&Gabbana Eau de Parfum Intense là một loại nước hoa nam tính mạnh mẽ và lôi cuốn kết hợp hương gỗ-da thuộc quyến rũ với hương nghệ tây và quả sung.<br><br><b>Về chai:</b> Thiết kế chai và nắp chai K by Dolce&Gabbana Eau de Parfum Intense vẫn giữ nguyên thiết kế của loại nước hoa K Eau de Parfum ban đầu trong khi sắc xanh nửa đêm thanh lịch của ly thủy tinh bắt nguồn từ màu nước ép mới.<br><br><b>Về mùi hương:</b> Loại nước hoa này được Daphne Bugey sáng tạo dành riêng cho Dolce&Gabbana.,https://www.sephora.com/product/dolce-gabbana-k-eau-de-parfum-intense-travel-spray-P514007?skuId=2821700&amp;icid2=products grid:p514007:product
1019983,Light Blue Pour Homme Eau de Toilette Spray,Light Blue Pour Homme Eau de Toilette Spray,Dolce&Gabbana,1161000,,2.5 oz/ 75 mL,Nam,https://www.sephora.com/productimages/sku/s1019983-main-zoom.jpg?imwidth=48 1x https://www.sephora.com/productimages/sku/s1019983-main-zoom.jpg?imwidth=96 2x,https://www.sephora.com/productimages/product/p186402-av-14-zoom.jpg?imwidth=48 1x https://www.sephora.com/productimages/product/p186402-av-14-zoom.jpg?imwidth=96 2x,<p><strong>Nhóm hương:</strong> Tươi mát</p><p><br></p><p><strong>Loại mùi hương:</strong> Tươi mát dưới nước</p><p><br></p><p><strong>Hương chính:</strong> Cây bách xù Quýt Rêu sồi Hương nước</p><p><br></p><p><strong>Mô tả hương thơm:</strong> Sự gợi cảm của làn da rám nắng làn gió mát lành của Biển Địa Trung Hải hương trái cây và hoa của thảm thực vật: Dolce&Gabbana Light Blue nắm bắt được tinh túy của một ngày hè được ru ngủ bởi những con sóng nhẹ nhàng vỗ vào những vách đá quyến rũ của Capri.</p><p><br></p><p><strong>Về chai:</strong> Light Blue Pour Homme Eau de Toilette đựng trong một chai thủy tinh mờ được viền bằng nút chặn màu xanh ngọc - một sự phản chiếu sống động của vùng nước trong vắt và bầu trời của Địa Trung Hải.</p><p><br></p><p><strong>Về Hương thơm:</strong> Nước hoa Dolce&Gabbana Light Blue dành cho nam giới thể hiện nét quyến rũ đầy phiêu lưu của một người đàn ông Địa Trung Hải đương đại trong hương thơm tươi mát tràn đầy năng lượng này được tạo ra bởi Alberto Morillas. Magnetic một loại cocktail sảng khoái của trái cây họ cam quýt cân bằng hoàn hảo với hương thảo và hoắc hương Ấn Độ.</p>,https://www.sephora.com/product/light-blue-pour-homme-P186402?skuId=1019983&amp;icid2=products grid:p186402:product
1112481,Pour Homme Eau de Toilette,Pour Homme Eau de Toilette,Versace,1339000,,3.4 oz/ 100 mL,Nam,https://www.sephora.com/productimages/sku/s1112481-main-zoom.jpg?imwidth=48 1x https://www.sephora.com/productimages/sku/s1112481-main-zoom.jpg?imwidth=96 2x,https://www.sephora.com/productimages/product/p219907-av-04-zoom.jpg?imwidth=48 1x https://www.sephora.com/productimages/product/p219907-av-04-zoom.jpg?imwidth=96 2x,Hương thơm mới dành cho nam giới Versace Pour Homme pha trộn các thành phần thiết yếu có nguồn gốc từ Địa Trung Hải để tạo nên hương thơm phù hợp với người đàn ông ngày nay: hiểu biết và tự tin anh ta có khả năng sống hòa hợp với thế giới tự nhiên. Năng động và có tinh thần kinh doanh người đàn ông Versace Pour Homme truyền tải tính cách mạnh mẽ và nồng nhiệt của mình thông qua hương thơm nam tính này.<br><br><strong>Hương đầu:</strong><br>Cam bergamot Hoa cam đắng Quả thanh yên Lá cam đắng Hoa phong lữ Cây xô thơm Clary Hoa lục bình xanh Gỗ tuyết tùng Gỗ già Hổ phách khoáng Đậu Tonka Xạ hương.<br><strong>Phong cách:</strong><br>Mạnh mẽ. Tài tình. Độc đáo.,https://www.sephora.com/product/pour-homme-P219907?skuId=1112481&amp;icid2=products grid:p219907:product
1200716,La Nuit De L’Homme,La Nuit De L’Homme,Yves Saint Laurent,1403000,,3.3 oz/ 100 mL,Nam,https://www.sephora.com/productimages/sku/s1200716-main-zoom.jpg?imwidth=48 1x https://www.sephora.com/productimages/sku/s1200716-main-zoom.jpg?imwidth=96 2x,https://www.sephora.com/productimages/product/p243320-av-25-zoom.jpg?imwidth=48 1x https://www.sephora.com/productimages/product/p243320-av-25-zoom.jpg?imwidth=96 2xhttps://www.sephora.com/productimages/product/p243320-av-20-zoom.jpg?imwidth=48 1x https://www.sephora.com/productimages/product/p243320-av-20-zoom.jpg?imwidth=96 2xhttps://www.sephora.com/productimages/product/p243320-av-05-zoom.jpg?imwidth=48 1x https://www.sephora.com/productimages/product/p243320-av-05-zoom.jpg?imwidth=96 2xhttps://www.sephora.com/productimages/product/p243320-av-15-zoom.jpg?imwidth=48 1x https://www.sephora.com/productimages/product/p243320-av-15-zoom.jpg?imwidth=96 2x,<b>Nhóm hương:</b> Ấm áp &amp; Cay nồng<br><br><b>Loại mùi hương:</b> Gia vị mát lạnh<br><br><b>Ghi chú:</b><br>Bạch đậu khấu Gỗ tuyết tùng Courmarin.<br><br>La Nuit de L'Homme của Yves Saint Laurent kể một câu chuyện về sự mãnh liệt sự gợi cảm táo bạo và sự quyến rũ nằm giữa sự kiềm chế và sự buông thả. Sự tươi mát nam tính kết hợp với sự tinh tế và thản nhiên để tạo ra một mùi hương tươi mát nhưng sâu lắng và bí ẩn với các nốt hương của bạch đậu khấu tuyết tùng và coumarin—một cấu trúc của các lực tương phản.<br><br><b>Phong cách:</b><br>Sáng sủa. Tươi mát. Tinh tế.,https://www.sephora.com/product/la-nuit-de-l-homme-P243320?skuId=1200716&amp;icid2=products grid:p243320:product
1200773,1 Million Eau de Toilette,1 Million Eau de Toilette,Rabanne,1530000,,3.4 oz/ 100 mL,Nam,https://www.sephora.com/productimages/sku/s1200773-main-zoom.jpg?imwidth=48 1x https://www.sephora.com/productimages/sku/s1200773-main-zoom.jpg?imwidth=96 2x,https://www.sephora.com/productimages/sku/s1200773-av-2-zoom.jpg?imwidth=48 1x https://www.sephora.com/productimages/sku/s1200773-av-2-zoom.jpg?imwidth=96 2xhttps://www.sephora.com/productimages/sku/s1200773-av-3-zoom.jpg?imwidth=48 1x https://www.sephora.com/productimages/sku/s1200773-av-3-zoom.jpg?imwidth=96 2xhttps://www.sephora.com/productimages/sku/s1200773-av-4-zoom.jpg?imwidth=48 1x https://www.sephora.com/productimages/sku/s1200773-av-4-zoom.jpg?imwidth=96 2xhttps://www.sephora.com/productimages/sku/s1200773-av-5-zoom.jpg?imwidth=48 1x https://www.sephora.com/productimages/sku/s1200773-av-5-zoom.jpg?imwidth=96 2x,<p><strong>Nhóm hương: </strong>Hương đất &amp; hương gỗ</p><p><br></p><p><strong>Loại mùi hương: </strong>Hương cam chanh &amp; hương gỗ</p><p><br></p><p><strong>Ghi chú chính: </strong>Quả quýt đỏ Quế Cây hoắc hương</p><p><br></p><p>Về hương thơm: One Million Eau de Toilette là một loại nước hoa tươi mát và cay nồng dành cho nam giới với hương hổ phách da thuộc và quýt. Nó thách thức mọi quy tắc và phá vỡ các quy tắc trong khi thêm một chút quyến rũ không thể cưỡng lại. Hương thơm gây khó chịu phù hợp với một người đàn ông có sức quyến rũ ngạo mạn. One Million. Bạn có thể là một chàng trai hư miễn là bạn luôn là một quý ông. Không bao giờ tuân theo mệnh lệnh hãy tự tạo ra quy tắc của riêng bạn.</p>,https://www.sephora.com/product/1-million-P269120?skuId=1200773&amp;icid2=products grid:p269120:product
1284710,BLEU DE CHANEL Eau de Toilette,BLEU DE CHANEL Eau de Toilette,CHANEL,1403000,,1.7 oz,Nam,https://www.sephora.com/productimages/sku/s1284710-main-zoom.jpg?imwidth=48 1x https://www.sephora.com/productimages/sku/s1284710-main-zoom.jpg?imwidth=96 2x,https://www.sephora.com/productimages/product/p270302-av-1-zoom.jpg?imwidth=48 1x https://www.sephora.com/productimages/product/p270302-av-1-zoom.jpg?imwidth=96 2xhttps://www.sephora.com/productimages/product/p270302-av-2-zoom.jpg?imwidth=48 1x https://www.sephora.com/productimages/product/p270302-av-2-zoom.jpg?imwidth=96 2x,<b>Nhóm hương:</b> Hương đất và hương gỗ <br><br><b>Loại mùi hương:</b> Hương gỗ ấm áp <br><br><b>Ghi chú chính:</b> Hương cam chanh Labdanum Gỗ đàn hương và gỗ tuyết tùng <br><br><b>Mô tả mùi hương:</b><br> Một loại nước hoa gỗ thơm dành cho người đàn ông thách thức quy ước; sự pha trộn đầy khiêu khích giữa cam chanh và gỗ giúp giải phóng các giác quan. Tươi mát sạch sẽ và vô cùng gợi cảm. <br><br> THÀNH PHẦN<br>BLEU DE CHANEL kết hợp hương vị sảng khoái của Bưởi và sức mạnh của hương thơm với hương gỗ thì thầm của Gỗ tuyết tùng khô. Gỗ đàn hương New Caledonian mang đến cho nó một dấu ấn ấm áp và gợi cảm. Một sự kết hợp của sức mạnh và sự thanh lịch. <br><br>CÁCH SỬ DỤNG<br>Eau de Toilette nhẹ nhàng thư giãn có dạng xịt để sử dụng nhiều.,https://www.sephora.com/product/bleu-de-chanel-P270302?skuId=1284710&amp;icid2=products grid:p270302:product
1359306,Versace Man Eau Fraiche Eau de Toilette,Versace Man Eau Fraiche Eau de Toilette,Versace,1785000,,6.7 oz/ 200 mL,Nam,https://www.sephora.com/productimages/sku/s1359306-main-zoom.jpg?imwidth=48 1x https://www.sephora.com/productimages/sku/s1359306-main-zoom.jpg?imwidth=96 2x,https://www.sephora.com/productimages/product/p169301-av-3-zoom.jpg?imwidth=48 1x https://www.sephora.com/productimages/product/p169301-av-3-zoom.jpg?imwidth=96 2x,<b>Nhóm hương:</b> Tươi mát <br> <br><b>Loại mùi hương:</b> Cam quýt & Trái cây tươi mát <br> <br><b>Ghi chú chính:</b> Chanh trắng Gỗ hồng sắc Gỗ thích <br> <br><b>Mô tả mùi hương:</b> Phiên bản tươi mát gợi cảm này của nước hoa Versace Man là phiên bản nhẹ nhàng hơn gợi cảm hơn một cách tinh tế so với phiên bản gốc. Hương trái cây mịn màng hòa quyện với lá xanh và hương ấm áp của xạ hương hổ phách và gỗ thích tạo nên mùi hương dành cho những người đàn ông hướng nội hơn ngày nay.,https://www.sephora.com/product/versace-man-eau-fraiche-P169301?skuId=1359306&amp;icid2=products grid:p169301:product
1513225,Eros Eau de Toilette,Eros Eau de Toilette,Versace,1339000,,3.4 oz/ 100 mL,Nam,https://www.sephora.com/productimages/sku/s1513225-main-zoom.jpg?imwidth=48 1x https://www.sephora.com/productimages/sku/s1513225-main-zoom.jpg?imwidth=96 2x,https://www.sephora.com/productimages/product/p382751-av-5-zoom.jpg?imwidth=48 1x https://www.sephora.com/productimages/product/p382751-av-5-zoom.jpg?imwidth=96 2xhttps://www.sephora.com/productimages/product/p382751-av-01-zoom.jpg?imwidth=48 1x https://www.sephora.com/productimages/product/p382751-av-01-zoom.jpg?imwidth=96 2x,<b>Nhóm hương:</b> Ấm áp & cay nồng<br><br><b>Loại mùi hương:</b> Gia vị mát lạnh<br><br><b>Ghi chú chính:</b> Lá bạc hà Hoa cam Vani Madagascar<br><br><b>Mô tả hương thơm:</b> Tình yêu đam mê vẻ đẹp và ham muốn là những khái niệm chính đằng sau loại nước hoa nam mới của Versace. Vì thần thoại Hy Lạp và tác phẩm điêu khắc cổ điển đã đặc trưng cho thế giới Versace ngay từ đầu nên sự hoàn hảo của cơ thể nam giới được gợi lên bằng sự ám chỉ đến Eros Thần tình yêu. Versace Eros là loại nước hoa dành cho người đàn ông mạnh mẽ nồng nàn người làm chủ được bản thân. <br><br>Eros diễn giải sự nam tính tuyệt vời thông qua hào quang rực rỡ với sự kết hợp mãnh liệt sống động và rực rỡ của lá bạc hà tươi vỏ chanh Ý và táo xanh. Sự gợi cảm gây nghiện được nhấn mạnh bằng những nốt hương phương Đông hấp dẫn và lôi cuốn như đậu tonka hổ phách amrboxan hoa phong lữ và vani hòa quyện với sự nam tính mạnh mẽ được tượng trưng bởi các loại gỗ như gỗ tuyết tùng từ Atlas và Virginia trong khi cỏ vetiver và rêu sồi mang đến sự mãnh liệt và sức mạnh.,https://www.sephora.com/product/eros-P382751?skuId=1513225&amp;icid2=products grid:p382751:product
1695980,BLEU DE CHANEL Eau de Parfum,BLEU DE CHANEL Eau de Parfum,CHANEL,2002000,,3.4 oz,Nam,https://www.sephora.com/productimages/sku/s1695980-main-zoom.jpg?imwidth=48 1x https://www.sephora.com/productimages/sku/s1695980-main-zoom.jpg?imwidth=96 2x,https://www.sephora.com/productimages/product/p394949-av-1-zoom.jpg?imwidth=48 1x https://www.sephora.com/productimages/product/p394949-av-1-zoom.jpg?imwidth=96 2xhttps://www.sephora.com/productimages/product/p394949-av-2-zoom.jpg?imwidth=48 1x https://www.sephora.com/productimages/product/p394949-av-2-zoom.jpg?imwidth=96 2x,<b>Nhóm hương:</b> Hương đất và gỗ <br><br><b>Loại mùi hương:</b> Hương gỗ ấm áp <br><br><b>Ghi chú chính:</b> Hương cam chanh Labdanum Gỗ đàn hương Gỗ tuyết tùng <br><br><b>Mô tả mùi hương:</b><br> Không ngờ tới và không thể phủ nhận là táo bạo. Tươi mát sạch sẽ và vô cùng gợi cảm hương gỗ thơm thể hiện tinh thần của một người đàn ông tự lựa chọn số phận của mình với sự độc lập và quyết tâm—một người đàn ông bất chấp quy ước. <br><br>THÀNH PHẦN<br>Hương thơm dành cho nam giới có hương cam chanh tươi mát theo sau là hương gỗ tuyết tùng hổ phách. Hương gỗ được khuếch đại bởi Đậu Tonka và Vani để tăng thêm sự gợi cảm. Gỗ đàn hương New Caledonian lan tỏa ở phần gốc để tạo chiều sâu hơn. <br><br>CÁCH SỬ DỤNG<br>Được đựng trong một chai màu xanh bí ẩn Eau de Parfum có dạng xịt để dễ dàng sử dụng.,https://www.sephora.com/product/bleu-de-chanel-eau-de-parfum-P394949?skuId=1695980&amp;icid2=products grid:p394949:product
