SKU,Name,Brand,RegularPrice,SalePrice,Size,Categories,Images,Gallery,Description,Link
2790962,Old Fashioned Eau de Parfum,KILIAN Paris,"$27,500 ",,1.7 oz / 50 ml eau de parfum spray,N?,"https://www.sephora.com/productimages/sku/s2790962-main-zoom.jpg?imwidth=48 1x, https://www.sephora.com/productimages/sku/s2790962-main-zoom.jpg?imwidth=96 2x","https://www.sephora.com/productimages/sku/s2790962-av-02-zoom.jpg?imwidth=48 1x, https://www.sephora.com/productimages/sku/s2790962-av-02-zoom.jpg?imwidth=96 2x,https://www.sephora.com/productimages/sku/s2790962-av-03-zoom.jpg?imwidth=48 1x, https://www.sephora.com/productimages/sku/s2790962-av-03-zoom.jpg?imwidth=96 2x,https://www.sephora.com/productimages/sku/s2790962-av-04-zoom.jpg?imwidth=48 1x, https://www.sephora.com/productimages/sku/s2790962-av-04-zoom.jpg?imwidth=96 2x,https://www.sephora.com/productimages/sku/s2790962-av-05-zoom.jpg?imwidth=48 1x, https://www.sephora.com/productimages/sku/s2790962-av-05-zoom.jpg?imwidth=96 2x,https://www.sephora.com/productimages/sku/s2790962-av-06-zoom.jpg?imwidth=48 1x, https://www.sephora.com/productimages/sku/s2790962-av-06-zoom.jpg?imwidth=96 2x","<b>Nhóm h??ng:</b> ?m áp & cay n?ng<br><br><b>Lo?i mùi h??ng:</b> H??ng g? gia v?<br><br><b>Ghi chú chính:</b> Tinh d?u lúa mì, Tinh ch?t Davana, G? tuy?t tùng<br><br><b>Mô t? h??ng th?m:</b> Old Fashioned m? ??u v?i h??ng ??t c?a tinh d?u lúa mì và h??ng r??u nh? c?a tinh ch?t davana. Nó có h??ng g? tuy?t tùng và tinh d?u v?nh c?u hòa quy?n v?i h??ng g? tinh t?. H??ng tolu balm và styrax g?i nh? ??n nh?ng thùng r??u whisky lâu n?m và nh?ng cánh ??ng hoang ph? ??y s??ng mù c?a truy?n thuy?t Scotland.<br><br><b>V? chai:</b> Chai n??c hoa c?a b? s?u t?p The Liquors ???c thi?t k? nh? m?t v?t d?ng thi?t y?u trong quán r??u l?u, gi?ng nh? m?t chi?c ly th?y tinh ngh? thu?t ?? g?i nh? ??n nh?ng quán bar tuy?t v?i nh?t. Chi?c ly có tr?ng l??ng ???c kh?c h?a ti?t ch? K mang tính bi?u t??ng ?? chi?u sáng và b?t sáng ? m?i góc ??, ???c hoàn thi?n b?ng m?t t?m b?ng hình thoi màu vàng ???c ký b?ng ch? in l?a màu tr?ng. Nh?ng chi ti?t này mang ??n cho các sáng t?o c?a KILIAN PARIS s? ??m b?o v? s? xa x?, không ph?i là phù du, mà ph?i t?n t?i su?t ??i. Do ?ó, lo?i n??c hoa này có th? ???c n?p l?i vô t?n.<br><br><b>V? h??ng th?m:</b> Old Fashioned Eau de Parfum là h??ng th?m c?a m?t lo?i r??u whisky m?ch nha ??n c?t Scotland 18 n?m tu?i tuy?t h?o, m?t b?c chân dung v? n??c hoa tinh t? mà ch? th?i gian m?i có th? ??t ???c. Lúa mì và&nbsp;Tolu Balm&nbsp;b?t tr?n lo?i r??u này ngay t?i th?i ?i?m n?m th? s? hoàn h?o.<br>&nbsp;<br>Old Fashioned Eau de Parfum ngay l?p t?c ??a b?n ??n m?t dinh th? Scotland ?ang nhâm nhi r??u whisky trong m?t chi?c c?c bên ng?n l?a b?p bùng—m?t s? xa x? ???c vun ??p theo th?i gian và hoàn toàn n?m ngoài th?i gian. ""Nh?ng mùi h??ng c?a r??u là nh?ng sáng t?o mang tính cá nhân nh?t c?a tôi"", Kilian nói, ""và tôn vinh di s?n Hennessy c?a tôi"".",https://www.sephora.com/product/kilian-old-fashioned-eau-de-parfum-P512428?skuId=2790962&amp;icid2=products grid:p512428:product
2821700,K Eau de Parfum Intense Travel Spray,Dolce&Gabbana,"$3,800 ",,0.33 oz / 10 mL eau de parfum spray,Nam,"https://www.sephora.com/productimages/sku/s2821700-main-zoom.jpg?imwidth=48 1x, https://www.sephora.com/productimages/sku/s2821700-main-zoom.jpg?imwidth=96 2x","https://www.sephora.com/productimages/sku/s2821700-av-01-zoom.jpg?imwidth=48 1x, https://www.sephora.com/productimages/sku/s2821700-av-01-zoom.jpg?imwidth=96 2x,https://www.sephora.com/productimages/sku/s2821700-av-11-zoom.jpg?imwidth=48 1x, https://www.sephora.com/productimages/sku/s2821700-av-11-zoom.jpg?imwidth=96 2x,https://www.sephora.com/productimages/sku/s2821700-av-10-zoom.jpg?imwidth=48 1x, https://www.sephora.com/productimages/sku/s2821700-av-10-zoom.jpg?imwidth=96 2x","<b>Nhóm h??ng:</b> ?m áp & cay n?ng<br><br><b>Lo?i mùi h??ng:</b> H??ng g? gia v?<br><br><b>H??ng chính:</b> Ngh? tây, Qu? sung, Da thu?c<br><br><b>Mô t? mùi h??ng:</b> K by Dolce&Gabbana Eau de Parfum Intense là m?t lo?i n??c hoa nam tính m?nh m? và lôi cu?n, k?t h?p h??ng g?-da thu?c quy?n r? v?i h??ng ngh? tây và qu? sung.<br><br><b>V? chai:</b> Thi?t k? chai và n?p chai K by Dolce&Gabbana Eau de Parfum Intense v?n gi? nguyên thi?t k? c?a lo?i n??c hoa K Eau de Parfum ban ??u, trong khi s?c xanh n?a ?êm thanh l?ch c?a ly th?y tinh b?t ngu?n t? màu n??c ép m?i.<br><br><b>V? mùi h??ng:</b> Lo?i n??c hoa này ???c Daphne Bugey sáng t?o dành riêng cho Dolce&Gabbana.",https://www.sephora.com/product/dolce-gabbana-k-eau-de-parfum-intense-travel-spray-P514007?skuId=2821700&amp;icid2=products grid:p514007:product
1019983,Light Blue Pour Homme Eau de Toilette Spray,Dolce&Gabbana,"$9,100 ",,2.5 oz/ 75 mL,Nam,"https://www.sephora.com/productimages/sku/s1019983-main-zoom.jpg?imwidth=48 1x, https://www.sephora.com/productimages/sku/s1019983-main-zoom.jpg?imwidth=96 2x","https://www.sephora.com/productimages/product/p186402-av-14-zoom.jpg?imwidth=48 1x, https://www.sephora.com/productimages/product/p186402-av-14-zoom.jpg?imwidth=96 2x","<p><strong>Nhóm h??ng:</strong> T??i mát</p><p><br></p><p><strong>Lo?i mùi h??ng:</strong> T??i mát d??i n??c</p><p><br></p><p><strong>H??ng chính:</strong> Cây bách xù, Quýt, Rêu s?i, H??ng n??c</p><p><br></p><p><strong>Mô t? h??ng th?m:</strong> S? g?i c?m c?a làn da rám n?ng, làn gió mát lành c?a Bi?n ??a Trung H?i, h??ng trái cây và hoa c?a th?m th?c v?t: Dolce&Gabbana Light Blue n?m b?t ???c tinh túy c?a m?t ngày hè ???c ru ng? b?i nh?ng con sóng nh? nhàng v? vào nh?ng vách ?á quy?n r? c?a Capri.</p><p><br></p><p><strong>V? chai:</strong> Light Blue Pour Homme Eau de Toilette ??ng trong m?t chai th?y tinh m?, ???c vi?n b?ng nút ch?n màu xanh ng?c - m?t s? ph?n chi?u s?ng ??ng c?a vùng n??c trong v?t và b?u tr?i c?a ??a Trung H?i.</p><p><br></p><p><strong>V? H??ng th?m:</strong> N??c hoa Dolce&Gabbana Light Blue dành cho nam gi?i th? hi?n nét quy?n r? ??y phiêu l?u c?a m?t ng??i ?àn ông ??a Trung H?i ???ng ??i, trong h??ng th?m t??i mát, tràn ??y n?ng l??ng này ???c t?o ra b?i Alberto Morillas. Magnetic, m?t lo?i cocktail s?ng khoái c?a trái cây h? cam quýt, cân b?ng hoàn h?o v?i h??ng th?o và ho?c h??ng ?n ??.</p>",https://www.sephora.com/product/light-blue-pour-homme-P186402?skuId=1019983&amp;icid2=products grid:p186402:product
1112481,Pour Homme Eau de Toilette,Versace,"$10,500 ",,3.4 oz/ 100 mL,Nam,"https://www.sephora.com/productimages/sku/s1112481-main-zoom.jpg?imwidth=48 1x, https://www.sephora.com/productimages/sku/s1112481-main-zoom.jpg?imwidth=96 2x","https://www.sephora.com/productimages/product/p219907-av-04-zoom.jpg?imwidth=48 1x, https://www.sephora.com/productimages/product/p219907-av-04-zoom.jpg?imwidth=96 2x","H??ng th?m m?i dành cho nam gi?i, Versace Pour Homme, pha tr?n các thành ph?n thi?t y?u có ngu?n g?c t? ??a Trung H?i ?? t?o nên h??ng th?m phù h?p v?i ng??i ?àn ông ngày nay: hi?u bi?t và t? tin, anh ta có kh? n?ng s?ng hòa h?p v?i th? gi?i t? nhiên. N?ng ??ng và có tinh th?n kinh doanh, ng??i ?àn ông Versace Pour Homme truy?n t?i tính cách m?nh m? và n?ng nhi?t c?a mình thông qua h??ng th?m nam tính này.<br><br><strong>H??ng ??u:</strong><br>Cam bergamot, Hoa cam ??ng, Qu? thanh yên, Lá cam ??ng, Hoa phong l?, Cây xô th?m Clary, Hoa l?c bình xanh, G? tuy?t tùng, G? già, H? phách khoáng, ??u Tonka, X? h??ng.<br><strong>Phong cách:</strong><br>M?nh m?. Tài tình. ??c ?áo.",https://www.sephora.com/product/pour-homme-P219907?skuId=1112481&amp;icid2=products grid:p219907:product
1200716,La Nuit De L’Homme,Yves Saint Laurent,"$11,000 ",,3.3 oz/ 100 mL,Nam,"https://www.sephora.com/productimages/sku/s1200716-main-zoom.jpg?imwidth=48 1x, https://www.sephora.com/productimages/sku/s1200716-main-zoom.jpg?imwidth=96 2x","https://www.sephora.com/productimages/product/p243320-av-25-zoom.jpg?imwidth=48 1x, https://www.sephora.com/productimages/product/p243320-av-25-zoom.jpg?imwidth=96 2x,https://www.sephora.com/productimages/product/p243320-av-20-zoom.jpg?imwidth=48 1x, https://www.sephora.com/productimages/product/p243320-av-20-zoom.jpg?imwidth=96 2x,https://www.sephora.com/productimages/product/p243320-av-05-zoom.jpg?imwidth=48 1x, https://www.sephora.com/productimages/product/p243320-av-05-zoom.jpg?imwidth=96 2x,https://www.sephora.com/productimages/product/p243320-av-15-zoom.jpg?imwidth=48 1x, https://www.sephora.com/productimages/product/p243320-av-15-zoom.jpg?imwidth=96 2x","<b>Nhóm h??ng:</b> ?m áp &amp; Cay n?ng<br><br><b>Lo?i mùi h??ng:</b> Gia v? mát l?nh<br><br><b>Ghi chú:</b><br>B?ch ??u kh?u, G? tuy?t tùng, Courmarin.<br><br>La Nuit de L'Homme c?a Yves Saint Laurent k? m?t câu chuy?n v? s? mãnh li?t, s? g?i c?m táo b?o và s? quy?n r? n?m gi?a s? ki?m ch? và s? buông th?. S? t??i mát, nam tính k?t h?p v?i s? tinh t? và th?n nhiên ?? t?o ra m?t mùi h??ng t??i mát nh?ng sâu l?ng và bí ?n v?i các n?t h??ng c?a b?ch ??u kh?u, tuy?t tùng và coumarin—m?t c?u trúc c?a các l?c t??ng ph?n.<br><br><b>Phong cách:</b><br>Sáng s?a. T??i mát. Tinh t?.",https://www.sephora.com/product/la-nuit-de-l-homme-P243320?skuId=1200716&amp;icid2=products grid:p243320:product
1200773,1 Million Eau de Toilette,Rabanne,"$12,000 ",,3.4 oz/ 100 mL,Nam,"https://www.sephora.com/productimages/sku/s1200773-main-zoom.jpg?imwidth=48 1x, https://www.sephora.com/productimages/sku/s1200773-main-zoom.jpg?imwidth=96 2x","https://www.sephora.com/productimages/sku/s1200773-av-2-zoom.jpg?imwidth=48 1x, https://www.sephora.com/productimages/sku/s1200773-av-2-zoom.jpg?imwidth=96 2x,https://www.sephora.com/productimages/sku/s1200773-av-3-zoom.jpg?imwidth=48 1x, https://www.sephora.com/productimages/sku/s1200773-av-3-zoom.jpg?imwidth=96 2x,https://www.sephora.com/productimages/sku/s1200773-av-4-zoom.jpg?imwidth=48 1x, https://www.sephora.com/productimages/sku/s1200773-av-4-zoom.jpg?imwidth=96 2x,https://www.sephora.com/productimages/sku/s1200773-av-5-zoom.jpg?imwidth=48 1x, https://www.sephora.com/productimages/sku/s1200773-av-5-zoom.jpg?imwidth=96 2x","<p><strong>Nhóm h??ng: </strong>H??ng ??t &amp; h??ng g?</p><p><br></p><p><strong>Lo?i mùi h??ng: </strong>H??ng cam chanh &amp; h??ng g?</p><p><br></p><p><strong>Ghi chú chính: </strong>Qu? quýt ??, Qu?, Cây ho?c h??ng</p><p><br></p><p>V? h??ng th?m: One Million Eau de Toilette là m?t lo?i n??c hoa t??i mát và cay n?ng dành cho nam gi?i v?i h??ng h? phách, da thu?c và quýt. Nó thách th?c m?i quy t?c và phá v? các quy t?c trong khi thêm m?t chút quy?n r? không th? c??ng l?i. H??ng th?m gây khó ch?u phù h?p v?i m?t ng??i ?àn ông có s?c quy?n r? ng?o m?n. One Million. B?n có th? là m?t chàng trai h?, mi?n là b?n luôn là m?t quý ông. Không bao gi? tuân theo m?nh l?nh, hãy t? t?o ra quy t?c c?a riêng b?n.</p>",https://www.sephora.com/product/1-million-P269120?skuId=1200773&amp;icid2=products grid:p269120:product
1284710,BLEU DE CHANEL Eau de Toilette,CHANEL,"$11,000 ",,1.7 oz,Nam,"https://www.sephora.com/productimages/sku/s1284710-main-zoom.jpg?imwidth=48 1x, https://www.sephora.com/productimages/sku/s1284710-main-zoom.jpg?imwidth=96 2x","https://www.sephora.com/productimages/product/p270302-av-1-zoom.jpg?imwidth=48 1x, https://www.sephora.com/productimages/product/p270302-av-1-zoom.jpg?imwidth=96 2x,https://www.sephora.com/productimages/product/p270302-av-2-zoom.jpg?imwidth=48 1x, https://www.sephora.com/productimages/product/p270302-av-2-zoom.jpg?imwidth=96 2x","<b>Nhóm h??ng:</b> H??ng ??t và h??ng g? <br><br><b>Lo?i mùi h??ng:</b> H??ng g? ?m áp <br><br><b>Ghi chú chính:</b> H??ng cam chanh, Labdanum, G? ?àn h??ng và g? tuy?t tùng <br><br><b>Mô t? mùi h??ng:</b><br> M?t lo?i n??c hoa g?, th?m dành cho ng??i ?àn ông thách th?c quy ??c; s? pha tr?n ??y khiêu khích gi?a cam chanh và g? giúp gi?i phóng các giác quan. T??i mát, s?ch s? và vô cùng g?i c?m. <br><br> THÀNH PH?N<br>BLEU DE CHANEL k?t h?p h??ng v? s?ng khoái c?a B??i và s?c m?nh c?a h??ng th?m v?i h??ng g? thì th?m c?a G? tuy?t tùng khô. G? ?àn h??ng New Caledonian mang ??n cho nó m?t d?u ?n ?m áp và g?i c?m. M?t s? k?t h?p c?a s?c m?nh và s? thanh l?ch. <br><br>CÁCH S? D?NG<br>Eau de Toilette nh? nhàng, th? giãn có d?ng x?t ?? s? d?ng nhi?u.",https://www.sephora.com/product/bleu-de-chanel-P270302?skuId=1284710&amp;icid2=products grid:p270302:product
1359306,Versace Man Eau Fraiche Eau de Toilette,Versace,"$14,000 ",,6.7 oz/ 200 mL,Nam,"https://www.sephora.com/productimages/sku/s1359306-main-zoom.jpg?imwidth=48 1x, https://www.sephora.com/productimages/sku/s1359306-main-zoom.jpg?imwidth=96 2x","https://www.sephora.com/productimages/product/p169301-av-3-zoom.jpg?imwidth=48 1x, https://www.sephora.com/productimages/product/p169301-av-3-zoom.jpg?imwidth=96 2x","<b>Nhóm h??ng:</b> T??i mát <br> <br><b>Lo?i mùi h??ng:</b> Cam quýt & Trái cây t??i mát <br> <br><b>Ghi chú chính:</b> Chanh tr?ng, G? h?ng s?c, G? thích <br> <br><b>Mô t? mùi h??ng:</b> Phiên b?n t??i mát, g?i c?m này c?a n??c hoa Versace Man là phiên b?n nh? nhàng h?n, g?i c?m h?n m?t cách tinh t? so v?i phiên b?n g?c. H??ng trái cây m?n màng hòa quy?n v?i lá xanh và h??ng ?m áp c?a x? h??ng, h? phách và g? thích, t?o nên mùi h??ng dành cho nh?ng ng??i ?àn ông h??ng n?i h?n ngày nay.",https://www.sephora.com/product/versace-man-eau-fraiche-P169301?skuId=1359306&amp;icid2=products grid:p169301:product
1513225,Eros Eau de Toilette,Versace,"$10,500 ",,3.4 oz/ 100 mL,Nam,"https://www.sephora.com/productimages/sku/s1513225-main-zoom.jpg?imwidth=48 1x, https://www.sephora.com/productimages/sku/s1513225-main-zoom.jpg?imwidth=96 2x","https://www.sephora.com/productimages/product/p382751-av-5-zoom.jpg?imwidth=48 1x, https://www.sephora.com/productimages/product/p382751-av-5-zoom.jpg?imwidth=96 2x,https://www.sephora.com/productimages/product/p382751-av-01-zoom.jpg?imwidth=48 1x, https://www.sephora.com/productimages/product/p382751-av-01-zoom.jpg?imwidth=96 2x","<b>Nhóm h??ng:</b> ?m áp & cay n?ng<br><br><b>Lo?i mùi h??ng:</b> Gia v? mát l?nh<br><br><b>Ghi chú chính:</b> Lá b?c hà, Hoa cam, Vani Madagascar<br><br><b>Mô t? h??ng th?m:</b> Tình yêu, ?am mê, v? ??p và ham mu?n là nh?ng khái ni?m chính ??ng sau lo?i n??c hoa nam m?i c?a Versace. Vì th?n tho?i Hy L?p và tác ph?m ?iêu kh?c c? ?i?n ?ã ??c tr?ng cho th? gi?i Versace ngay t? ??u, nên s? hoàn h?o c?a c? th? nam gi?i ???c g?i lên b?ng s? ám ch? ??n Eros, Th?n tình yêu. Versace Eros là lo?i n??c hoa dành cho ng??i ?àn ông m?nh m?, n?ng nàn, ng??i làm ch? ???c b?n thân. <br><br>Eros di?n gi?i s? nam tính tuy?t v?i thông qua hào quang r?c r? v?i s? k?t h?p mãnh li?t, s?ng ??ng và r?c r? c?a lá b?c hà t??i, v? chanh Ý và táo xanh. S? g?i c?m gây nghi?n ???c nh?n m?nh b?ng nh?ng n?t h??ng ph??ng ?ông h?p d?n và lôi cu?n nh? ??u tonka, h? phách amrboxan, hoa phong l? và vani hòa quy?n v?i s? nam tính m?nh m? ???c t??ng tr?ng b?i các lo?i g? nh? g? tuy?t tùng t? Atlas và Virginia, trong khi c? vetiver và rêu s?i mang ??n s? mãnh li?t và s?c m?nh.",https://www.sephora.com/product/eros-P382751?skuId=1513225&amp;icid2=products grid:p382751:product
1695980,BLEU DE CHANEL Eau de Parfum,CHANEL,"$15,700 ",,3.4 oz,Nam,"https://www.sephora.com/productimages/sku/s1695980-main-zoom.jpg?imwidth=48 1x, https://www.sephora.com/productimages/sku/s1695980-main-zoom.jpg?imwidth=96 2x","https://www.sephora.com/productimages/product/p394949-av-1-zoom.jpg?imwidth=48 1x, https://www.sephora.com/productimages/product/p394949-av-1-zoom.jpg?imwidth=96 2x,https://www.sephora.com/productimages/product/p394949-av-2-zoom.jpg?imwidth=48 1x, https://www.sephora.com/productimages/product/p394949-av-2-zoom.jpg?imwidth=96 2x","<b>Nhóm h??ng:</b> H??ng ??t và g? <br><br><b>Lo?i mùi h??ng:</b> H??ng g? ?m áp <br><br><b>Ghi chú chính:</b> H??ng cam chanh, Labdanum, G? ?àn h??ng G? tuy?t tùng <br><br><b>Mô t? mùi h??ng:</b><br> Không ng? t?i và không th? ph? nh?n là táo b?o. T??i mát, s?ch s? và vô cùng g?i c?m, h??ng g? th?m th? hi?n tinh th?n c?a m?t ng??i ?àn ông t? l?a ch?n s? ph?n c?a mình v?i s? ??c l?p và quy?t tâm—m?t ng??i ?àn ông b?t ch?p quy ??c. <br><br>THÀNH PH?N<br>H??ng th?m dành cho nam gi?i có h??ng cam chanh t??i mát theo sau là h??ng g? tuy?t tùng h? phách. H??ng g? ???c khu?ch ??i b?i ??u Tonka và Vani ?? t?ng thêm s? g?i c?m. G? ?àn h??ng New Caledonian lan t?a ? ph?n g?c ?? t?o chi?u sâu h?n. <br><br>CÁCH S? D?NG<br>???c ??ng trong m?t chai màu xanh bí ?n, Eau de Parfum có d?ng x?t ?? d? dàng s? d?ng.",https://www.sephora.com/product/bleu-de-chanel-eau-de-parfum-P394949?skuId=1695980&amp;icid2=products grid:p394949:product
